squad,league,season,squad_value
Arsenal,Premier League,2016,542000000
Manchester Utd,Premier League,2016,531450000
Liverpool,Premier League,2016,425650000
Everton,Premier League,2016,311250000
West Ham,Premier League,2016,273050000
Southampton,Premier League,2016,263750000
Crystal Palace,Premier League,2016,228425000
Leicester City,Premier League,2016,218650000
Stoke City,Premier League,2016,186000000
Watford,Premier League,2016,175650000
Swansea City,Premier League,2016,157100000
Hull City,Premier League,2016,135850000
Sunderland,Premier League,2016,132000000
Bournemouth,Premier League,2016,131600000
Middlesbrough,Premier League,2016,128800000
West Brom,Premier League,2016,123200000
Burnley,Premier League,2016,107175000
Chelsea,Premier League,2015,553500000
Manchester City,Premier League,2015,499350000
Arsenal,Premier League,2015,457850000
Manchester Utd,Premier League,2015,439850000
Liverpool,Premier League,2015,375250000
Tottenham,Premier League,2015,371850000
Everton,Premier League,2015,249850000
Southampton,Premier League,2015,225500000
West Ham,Premier League,2015,201325000
Newcastle,Premier League,2015,198000000
Leicester City,Premier League,2015,161100000
Stoke City,Premier League,2015,147000000
Swansea City,Premier League,2015,145800000
Watford,Premier League,2015,137000000
Crystal Palace,Premier League,2015,135700000
Aston Villa,Premier League,2015,117950000
Norwich City,Premier League,2015,116900000
West Brom,Premier League,2015,113100000
Sunderland,Premier League,2015,111250000
Bournemouth,Premier League,2015,99900000
Chelsea,Premier League,2014,557250000
Manchester Utd,Premier League,2014,505400000
Manchester City,Premier League,2014,448250000
Arsenal,Premier League,2014,414750000
Liverpool,Premier League,2014,324850000
Tottenham,Premier League,2014,304150000
Southampton,Premier League,2014,210250000
Everton,Premier League,2014,182850000
Newcastle,Premier League,2014,140000000
West Ham,Premier League,2014,135900000
Swansea City,Premier League,2014,130750000
Hull City,Premier League,2014,117100000
Aston Villa,Premier League,2014,114250000
QPR,Premier League,2014,112250000
Stoke City,Premier League,2014,110500000
Crystal Palace,Premier League,2014,97250000
West Brom,Premier League,2014,95950000
Sunderland,Premier League,2014,91000000
Leicester City,Premier League,2014,66700000
Burnley,Premier League,2014,52550000
Chelsea,Premier League,2013,584200000
Manchester City,Premier League,2013,455800000
Manchester Utd,Premier League,2013,402550000
Arsenal,Premier League,2013,385750000
Liverpool,Premier League,2013,315750000
Tottenham,Premier League,2013,288950000
Everton,Premier League,2013,210000000
Newcastle,Premier League,2013,172300000
Southampton,Premier League,2013,131500000
Swansea City,Premier League,2013,128925000
Sunderland,Premier League,2013,122000000
Fulham,Premier League,2013,112650000
West Ham,Premier League,2013,109500000
Aston Villa,Premier League,2013,109500000
Stoke City,Premier League,2013,104700000
West Brom,Premier League,2013,90800000
Norwich City,Premier League,2013,89300000
Cardiff City,Premier League,2013,87900000
Crystal Palace,Premier League,2013,68700000
Hull City,Premier League,2013,68150000
Manchester City,Premier League,2012,502100000
Manchester Utd,Premier League,2012,457500000
Chelsea,Premier League,2012,454250000
Arsenal,Premier League,2012,296900000
Tottenham,Premier League,2012,296800000
Liverpool,Premier League,2012,276100000
Newcastle,Premier League,2012,200250000
Everton,Premier League,2012,139750000
Sunderland,Premier League,2012,133900000
QPR,Premier League,2012,120050000
Aston Villa,Premier League,2012,110500000
Fulham,Premier League,2012,109850000
Stoke City,Premier League,2012,104050000
West Ham,Premier League,2012,103000000
Swansea City,Premier League,2012,102250000
West Brom,Premier League,2012,93500000
Wigan Athletic,Premier League,2012,91550000
Southampton,Premier League,2012,83050000
Norwich City,Premier League,2012,73250000
Reading,Premier League,2012,46250000
Real Madrid,La Liga,2023,1135100000
Barcelona,La Liga,2023,916200000
Real Sociedad,La Liga,2023,498500000
Atlético Madrid,La Liga,2023,458450000
Girona,La Liga,2023,297900000
Athletic Bilbao,La Liga,2023,295650000
Villarreal,La Liga,2023,252500000
Valencia,La Liga,2023,244725000
Sevilla,La Liga,2023,228750000
Real Betis,La Liga,2023,224875000
Celta Vigo,La Liga,2023,149300000
Granada,La Liga,2023,141100000
Getafe,La Liga,2023,133000000
Deportivo Alavés,La Liga,2023,123700000
Las Palmas,La Liga,2023,112400000
Osasuna,La Liga,2023,105350000
Almería,La Liga,2023,99400000
Mallorca,La Liga,2023,87700000
Rayo Vallecano,La Liga,2023,64150000
Cádiz,La Liga,2023,60700000
Real Madrid,La Liga,2022,923450000
Barcelona,La Liga,2022,836800000
Atlético Madrid,La Liga,2022,534300000
Real Sociedad,La Liga,2022,441700000
Villarreal,La Liga,2022,363500000
Valencia,La Liga,2022,249750000
Real Betis,La Liga,2022,246400000
Sevilla,La Liga,2022,232600000
Athletic Bilbao,La Liga,2022,222450000
Osasuna,La Liga,2022,150050000
Girona,La Liga,2022,139900000
Celta Vigo,La Liga,2022,139100000
Getafe,La Liga,2022,118900000
Espanyol,La Liga,2022,116350000
Almería,La Liga,2022,114200000
Mallorca,La Liga,2022,107000000
Rayo Vallecano,La Liga,2022,103400000
Real Valladolid,La Liga,2022,90750000
Elche,La Liga,2022,67500000
Cádiz,La Liga,2022,65600000
Real Madrid,La Liga,2021,770750000
Barcelona,La Liga,2021,735600000
Atlético Madrid,La Liga,2021,661800000
Villarreal,La Liga,2021,408900000
Sevilla,La Liga,2021,385000000
Real Sociedad,La Liga,2021,376950000
Valencia,La Liga,2021,310600000
Real Betis,La Liga,2021,259000000
Athletic Bilbao,La Liga,2021,226050000
Getafe,La Liga,2021,208675000
Espanyol,La Liga,2021,131600000
Celta Vigo,La Liga,2021,120000000
Osasuna,La Liga,2021,108450000
Granada,La Liga,2021,103750000
Levante,La Liga,2021,77900000
Mallorca,La Liga,2021,74150000
Elche,La Liga,2021,72975000
Cádiz,La Liga,2021,67800000
Rayo Vallecano,La Liga,2021,67200000
Deportivo Alavés,La Liga,2021,65350000
Barcelona,La Liga,2020,813500000
Real Madrid,La Liga,2020,787300000
Atlético Madrid,La Liga,2020,773100000
Sevilla,La Liga,2020,418250000
Real Sociedad,La Liga,2020,406600000
Villarreal,La Liga,2020,292600000
Valencia,La Liga,2020,278850000
Real Betis,La Liga,2020,207700000
Athletic Bilbao,La Liga,2020,204150000
Getafe,La Liga,2020,170100000
Celta Vigo,La Liga,2020,155850000
Granada,La Liga,2020,122650000
Levante,La Liga,2020,113000000
Osasuna,La Liga,2020,96750000
Eibar,La Liga,2020,83400000
Deportivo Alavés,La Liga,2020,79800000
Huesca,La Liga,2020,64100000
Real Valladolid,La Liga,2020,63350000
Cádiz,La Liga,2020,47650000
Elche,La Liga,2020,45650000
Barcelona,La Liga,2019,930275000
Real Madrid,La Liga,2019,913750000
Atlético Madrid,La Liga,2019,720150000
Valencia,La Liga,2019,427800000
Real Sociedad,La Liga,2019,347550000
Sevilla,La Liga,2019,294750000
Real Betis,La Liga,2019,244350000
Athletic Bilbao,La Liga,2019,211750000
Villarreal,La Liga,2019,208675000
Getafe,La Liga,2019,175450000
Celta Vigo,La Liga,2019,167000000
Espanyol,La Liga,2019,156050000
Leganés,La Liga,2019,109700000
Deportivo Alavés,La Liga,2019,106750000
Levante,La Liga,2019,90500000
Real Valladolid,La Liga,2019,87775000
Mallorca,La Liga,2019,64675000
Osasuna,La Liga,2019,62775000
Granada,La Liga,2019,56575000
Eibar,La Liga,2019,53750000
Barcelona,La Liga,2018,1158900000
Atlético Madrid,La Liga,2018,969700000
Real Madrid,La Liga,2018,896100000
Valencia,La Liga,2018,499650000
Sevilla,La Liga,2018,306300000
Real Sociedad,La Liga,2018,300950000
Real Betis,La Liga,2018,290750000
Athletic Bilbao,La Liga,2018,234250000
Celta Vigo,La Liga,2018,234100000
Villarreal,La Liga,2018,230650000
Espanyol,La Liga,2018,174700000
Getafe,La Liga,2018,132200000
Leganés,La Liga,2018,112450000
Deportivo Alavés,La Liga,2018,110800000
Levante,La Liga,2018,107850000
Girona,La Liga,2018,97250000
Eibar,La Liga,2018,93900000
Rayo Vallecano,La Liga,2018,86700000
Real Valladolid,La Liga,2018,83000000
Huesca,La Liga,2018,61400000
Barcelona,La Liga,2017,1094000000
Real Madrid,La Liga,2017,955350000
Atlético Madrid,La Liga,2017,711150000
Valencia,La Liga,2017,398050000
Sevilla,La Liga,2017,253200000
Athletic Bilbao,La Liga,2017,249400000
Real Sociedad,La Liga,2017,232950000
Villarreal,La Liga,2017,220000000
Celta Vigo,La Liga,2017,173050000
Real Betis,La Liga,2017,132250000
Espanyol,La Liga,2017,97800000
Las Palmas,La Liga,2017,91250000
Girona,La Liga,2017,81750000
Deportivo Alavés,La Liga,2017,74800000
Deportivo de La Coruña,La Liga,2017,66450000
Getafe,La Liga,2017,65600000
Levante,La Liga,2017,61850000
Eibar,La Liga,2017,60050000
Leganés,La Liga,2017,58550000
Málaga,La Liga,2017,55200000
Real Madrid,La Liga,2016,802900000
Barcelona,La Liga,2016,765300000
Atlético Madrid,La Liga,2016,515800000
Sevilla,La Liga,2016,270100000
Valencia,La Liga,2016,257500000
Villarreal,La Liga,2016,190700000
Athletic Bilbao,La Liga,2016,172600000
Real Sociedad,La Liga,2016,156450000
Celta Vigo,La Liga,2016,122400000
Deportivo de La Coruña,La Liga,2016,94000000
Deportivo Alavés,La Liga,2016,85400000
Málaga,La Liga,2016,84300000
Las Palmas,La Liga,2016,84300000
Real Betis,La Liga,2016,84200000
Espanyol,La Liga,2016,80800000
Eibar,La Liga,2016,67950000
Granada,La Liga,2016,66450000
Leganés,La Liga,2016,53150000
Sporting Gijón,La Liga,2016,46750000
Osasuna,La Liga,2016,42900000
Barcelona,La Liga,2015,726000000
Real Madrid,La Liga,2015,714300000
Atlético Madrid,La Liga,2015,418500000
Valencia,La Liga,2015,254000000
Sevilla,La Liga,2015,230300000
Athletic Bilbao,La Liga,2015,148000000
Villarreal,La Liga,2015,140600000
Real Sociedad,La Liga,2015,119400000
Celta Vigo,La Liga,2015,91100000
Málaga,La Liga,2015,77950000
Granada,La Liga,2015,71500000
Espanyol,La Liga,2015,62200000
Deportivo de La Coruña,La Liga,2015,61750000
Eibar,La Liga,2015,56600000
Real Betis,La Liga,2015,56400000
Sporting Gijón,La Liga,2015,53200000
Levante,La Liga,2015,53100000
Rayo Vallecano,La Liga,2015,49600000
Getafe,La Liga,2015,49100000
Las Palmas,La Liga,2015,32200000
Real Madrid,La Liga,2014,787800000
Barcelona,La Liga,2014,603800000
Atlético Madrid,La Liga,2014,356000000
Valencia,La Liga,2014,230000000
Sevilla,La Liga,2014,166750000
Villarreal,La Liga,2014,132700000
Athletic Bilbao,La Liga,2014,112100000
Real Sociedad,La Liga,2014,96800000
Málaga,La Liga,2014,82800000
Espanyol,La Liga,2014,75700000
Granada,La Liga,2014,67550000
Celta Vigo,La Liga,2014,60400000
Deportivo de La Coruña,La Liga,2014,53400000
Rayo Vallecano,La Liga,2014,51700000
Córdoba,La Liga,2014,50900000
Getafe,La Liga,2014,50200000
Levante,La Liga,2014,43450000
Elche,La Liga,2014,38600000
Almería,La Liga,2014,38300000
Eibar,La Liga,2014,29400000
Real Madrid,La Liga,2013,636800000
Barcelona,La Liga,2013,592200000
Atlético Madrid,La Liga,2013,308800000
Valencia,La Liga,2013,178800000
Sevilla,La Liga,2013,141150000
Real Sociedad,La Liga,2013,136700000
Athletic Bilbao,La Liga,2013,130700000
Villarreal,La Liga,2013,77300000
Málaga,La Liga,2013,62500000
Real Betis,La Liga,2013,58600000
Granada,La Liga,2013,57475000
Getafe,La Liga,2013,55900000
Espanyol,La Liga,2013,51300000
Celta Vigo,La Liga,2013,49900000
Rayo Vallecano,La Liga,2013,46100000
Elche,La Liga,2013,44600000
Levante,La Liga,2013,42400000
Osasuna,La Liga,2013,42300000
Real Valladolid,La Liga,2013,41200000
Almería,La Liga,2013,36450000
Barcelona,La Liga,2012,586600000
Real Madrid,La Liga,2012,582400000
Atlético Madrid,La Liga,2012,267000000
Valencia,La Liga,2012,172900000
Sevilla,La Liga,2012,144800000
Málaga,La Liga,2012,122900000
Athletic Bilbao,La Liga,2012,119850000
Real Sociedad,La Liga,2012,112800000
Granada,La Liga,2012,72800000
Getafe,La Liga,2012,68300000
Real Betis,La Liga,2012,66200000
Espanyol,La Liga,2012,64100000
Rayo Vallecano,La Liga,2012,49750000
Celta Vigo,La Liga,2012,49100000
Mallorca,La Liga,2012,47100000
Real Zaragoza,La Liga,2012,46800000
Osasuna,La Liga,2012,46400000
Deportivo de La Coruña,La Liga,2012,45600000
Levante,La Liga,2012,41100000
Real Valladolid,La Liga,2012,38800000
Inter Milan,Serie A,2023,654850000
AC Milan,Serie A,2023,571410000
Napoli,Serie A,2023,515000000
Juventus,Serie A,2023,504500000
Atalanta,Serie A,2023,436050000
Bologna,Serie A,2023,349300000
Roma,Serie A,2023,339900000
Fiorentina,Serie A,2023,283600000
Torino,Serie A,2023,232700000
Lazio,Serie A,2023,225400000
Genoa,Serie A,2023,195400000
Udinese,Serie A,2023,169060000
Monza,Serie A,2023,143425000
Hellas Verona,Serie A,2023,140700000
Sassuolo,Serie A,2023,139535000
Frosinone,Serie A,2023,108125000
Lecce,Serie A,2023,107725000
Empoli,Serie A,2023,102325000
Salernitana,Serie A,2023,94600000
Cagliari,Serie A,2023,92225000
Napoli,Serie A,2022,654075000
Inter Milan,Serie A,2022,567550000
AC Milan,Serie A,2022,545100000
Juventus,Serie A,2022,483125000
Roma,Serie A,2022,361375000
Atalanta,Serie A,2022,338375000
Lazio,Serie A,2022,266425000
Fiorentina,Serie A,2022,258800000
Sassuolo,Serie A,2022,232200000
Torino,Serie A,2022,197185000
Udinese,Serie A,2022,188860000
Bologna,Serie A,2022,153625000
Monza,Serie A,2022,135700000
Empoli,Serie A,2022,125525000
Hellas Verona,Serie A,2022,123885000
Salernitana,Serie A,2022,118350000
Spezia,Serie A,2022,115810000
Lecce,Serie A,2022,105200000
Cremonese,Serie A,2022,83775000
Sampdoria,Serie A,2022,82960000
Juventus,Serie A,2021,642500000
Inter Milan,Serie A,2021,558550000
AC Milan,Serie A,2021,546950000
Napoli,Serie A,2021,477225000
Atalanta,Serie A,2021,398750000
Roma,Serie A,2021,381250000
Fiorentina,Serie A,2021,325800000
Lazio,Serie A,2021,264525000
Sassuolo,Serie A,2021,251000000
Torino,Serie A,2021,223400000
Bologna,Serie A,2021,186200000
Hellas Verona,Serie A,2021,162975000
Udinese,Serie A,2021,142300000
Cagliari,Serie A,2021,134525000
Sampdoria,Serie A,2021,128550000
Empoli,Serie A,2021,126500000
Genoa,Serie A,2021,121275000
Venezia,Serie A,2021,80975000
Spezia,Serie A,2021,78500000
Salernitana,Serie A,2021,70560000
Inter Milan,Serie A,2020,663900000
Juventus,Serie A,2020,633300000
AC Milan,Serie A,2020,547775000
Napoli,Serie A,2020,530200000
Atalanta,Serie A,2020,430000000
Roma,Serie A,2020,395650000
Lazio,Serie A,2020,326325000
Fiorentina,Serie A,2020,286800000
Sassuolo,Serie A,2020,241735000
Cagliari,Serie A,2020,187825000
Torino,Serie A,2020,175275000
Udinese,Serie A,2020,173000000
Hellas Verona,Serie A,2020,157210000
Bologna,Serie A,2020,153600000
Parma,Serie A,2020,128700000
Sampdoria,Serie A,2020,127175000
Genoa,Serie A,2020,111925000
Spezia,Serie A,2020,71675000
Crotone,Serie A,2020,52750000
Benevento,Serie A,2020,50125000
Juventus,Serie A,2019,661875000
Inter Milan,Serie A,2019,606050000
Napoli,Serie A,2019,548275000
AC Milan,Serie A,2019,404325000
Roma,Serie A,2019,392725000
Lazio,Serie A,2019,303875000
Fiorentina,Serie A,2019,302225000
Atalanta,Serie A,2019,291425000
Sassuolo,Serie A,2019,167975000
Cagliari,Serie A,2019,167825000
Torino,Serie A,2019,163550000
Genoa,Serie A,2019,142375000
Sampdoria,Serie A,2019,135275000
Bologna,Serie A,2019,129650000
Parma,Serie A,2019,128750000
Udinese,Serie A,2019,121075000
Hellas Verona,Serie A,2019,112525000
Brescia,Serie A,2019,83225000
SPAL,Serie A,2019,73625000
Lecce,Serie A,2019,52325000
Juventus,Serie A,2018,871050000
Napoli,Serie A,2018,646800000
Inter Milan,Serie A,2018,617925000
AC Milan,Serie A,2018,578475000
Roma,Serie A,2018,459050000
Atalanta,Serie A,2018,367675000
Fiorentina,Serie A,2018,315325000
Lazio,Serie A,2018,291150000
Sassuolo,Serie A,2018,242050000
Torino,Serie A,2018,239225000
Sampdoria,Serie A,2018,216750000
Udinese,Serie A,2018,201200000
Genoa,Serie A,2018,191725000
Cagliari,Serie A,2018,155375000
Bologna,Serie A,2018,119675000
Empoli,Serie A,2018,105600000
SPAL,Serie A,2018,97400000
Parma,Serie A,2018,95750000
Chievo,Serie A,2018,54700000
Frosinone,Serie A,2018,54525000
Juventus,Serie A,2017,653150000
Napoli,Serie A,2017,504250000
Inter Milan,Serie A,2017,487275000
Roma,Serie A,2017,469100000
Lazio,Serie A,2017,408775000
AC Milan,Serie A,2017,407050000
Fiorentina,Serie A,2017,237325000
Atalanta,Serie A,2017,207950000
Sampdoria,Serie A,2017,190450000
Torino,Serie A,2017,175525000
Genoa,Serie A,2017,135125000
Sassuolo,Serie A,2017,126775000
Udinese,Serie A,2017,108025000
Bologna,Serie A,2017,103550000
Cagliari,Serie A,2017,98575000
SPAL,Serie A,2017,63550000
Benevento,Serie A,2017,57825000
Hellas Verona,Serie A,2017,56500000
Chievo,Serie A,2017,55225000
Crotone,Serie A,2017,47875000
Juventus,Serie A,2016,497175000
Napoli,Serie A,2016,387300000
Roma,Serie A,2016,354675000
Inter Milan,Serie A,2016,328300000
AC Milan,Serie A,2016,254325000
Lazio,Serie A,2016,226450000
Fiorentina,Serie A,2016,217075000
Torino,Serie A,2016,162350000
Atalanta,Serie A,2016,161700000
Sassuolo,Serie A,2016,145250000
Sampdoria,Serie A,2016,117575000
Genoa,Serie A,2016,108175000
Udinese,Serie A,2016,101950000
Bologna,Serie A,2016,95000000
Cagliari,Serie A,2016,61075000
Empoli,Serie A,2016,55450000
Pescara,Serie A,2016,48100000
Chievo,Serie A,2016,45875000
Palermo,Serie A,2016,41100000
Crotone,Serie A,2016,36700000
Juventus,Serie A,2015,440000000
Roma,Serie A,2015,332900000
Napoli,Serie A,2015,321925000
Inter Milan,Serie A,2015,294275000
AC Milan,Serie A,2015,213825000
Fiorentina,Serie A,2015,190525000
Lazio,Serie A,2015,175300000
Sampdoria,Serie A,2015,126525000
Genoa,Serie A,2015,117550000
Sassuolo,Serie A,2015,97000000
Udinese,Serie A,2015,93000000
Torino,Serie A,2015,89825000
Atalanta,Serie A,2015,78450000
Bologna,Serie A,2015,75225000
Empoli,Serie A,2015,74600000
Palermo,Serie A,2015,68675000
Carpi,Serie A,2015,52050000
Chievo,Serie A,2015,49775000
Hellas Verona,Serie A,2015,47725000
Frosinone,Serie A,2015,38300000
Juventus,Serie A,2014,329000000
Roma,Serie A,2014,276775000
Napoli,Serie A,2014,262175000
Inter Milan,Serie A,2014,260700000
AC Milan,Serie A,2014,236125000
Fiorentina,Serie A,2014,216125000
Lazio,Serie A,2014,167550000
Sampdoria,Serie A,2014,132225000
Genoa,Serie A,2014,117325000
Udinese,Serie A,2014,107175000
Palermo,Serie A,2014,92600000
Sassuolo,Serie A,2014,91025000
Atalanta,Serie A,2014,83475000
Torino,Serie A,2014,82575000
Cagliari,Serie A,2014,74200000
Parma,Serie A,2014,65950000
Chievo,Serie A,2014,61850000
Empoli,Serie A,2014,54025000
Hellas Verona,Serie A,2014,41800000
Cesena,Serie A,2014,34150000
Juventus,Serie A,2013,391450000
Inter Milan,Serie A,2013,292650000
Napoli,Serie A,2013,276600000
AC Milan,Serie A,2013,263950000
Fiorentina,Serie A,2013,249125000
Roma,Serie A,2013,246400000
Lazio,Serie A,2013,162950000
Udinese,Serie A,2013,123950000
Genoa,Serie A,2013,102100000
Parma,Serie A,2013,89775000
Sassuolo,Serie A,2013,87850000
Cagliari,Serie A,2013,86200000
Sampdoria,Serie A,2013,83475000
Torino,Serie A,2013,80250000
Catania,Serie A,2013,78975000
Atalanta,Serie A,2013,73925000
Livorno,Serie A,2013,71175000
Bologna,Serie A,2013,69825000
Chievo,Serie A,2013,69075000
Hellas Verona,Serie A,2013,67125000
Juventus,Serie A,2012,337900000
Inter Milan,Serie A,2012,242800000
AC Milan,Serie A,2012,238525000
Napoli,Serie A,2012,237250000
Fiorentina,Serie A,2012,213650000
Roma,Serie A,2012,173400000
Lazio,Serie A,2012,143275000
Udinese,Serie A,2012,121000000
Genoa,Serie A,2012,98500000
Sampdoria,Serie A,2012,85925000
Parma,Serie A,2012,85775000
Palermo,Serie A,2012,80950000
Bologna,Serie A,2012,78550000
Catania,Serie A,2012,76475000
Cagliari,Serie A,2012,76375000
Atalanta,Serie A,2012,74100000
Torino,Serie A,2012,61600000
Chievo,Serie A,2012,55100000
Pescara,Serie A,2012,47800000
Siena,Serie A,2012,47475000
Bayern Munich,Bundesliga,2023,965150000
Bayer Leverkusen,Bundesliga,2023,658350000
RB Leipzig,Bundesliga,2023,545400000
Borussia Dortmund,Bundesliga,2023,494800000
Stuttgart,Bundesliga,2023,346625000
Frankfurt,Bundesliga,2023,326650000
Wolfsburg,Bundesliga,2023,206450000
Freiburg,Bundesliga,2023,180350000
Hoffenheim,Bundesliga,2023,176000000
Borussia Mönchengladbach,Bundesliga,2023,165225000
Union Berlin,Bundesliga,2023,160950000
Mainz,Bundesliga,2023,142875000
Augsburg,Bundesliga,2023,140800000
Werder Bremen,Bundesliga,2023,134925000
Köln,Bundesliga,2023,81450000
Heidenheim,Bundesliga,2023,66450000
Bochum,Bundesliga,2023,64525000
Darmstadt,Bundesliga,2023,38700000
Bayern Munich,Bundesliga,2022,948950000
Borussia Dortmund,Bundesliga,2022,567550000
RB Leipzig,Bundesliga,2022,486400000
Bayer Leverkusen,Bundesliga,2022,452500000
Frankfurt,Bundesliga,2022,324550000
Borussia Mönchengladbach,Bundesliga,2022,241675000
Wolfsburg,Bundesliga,2022,238300000
Freiburg,Bundesliga,2022,200950000
Hoffenheim,Bundesliga,2022,178800000
Union Berlin,Bundesliga,2022,157950000
Stuttgart,Bundesliga,2022,151050000
Mainz,Bundesliga,2022,135800000
Augsburg,Bundesliga,2022,132225000
Köln,Bundesliga,2022,115650000
Hertha BSC,Bundesliga,2022,94000000
Werder Bremen,Bundesliga,2022,89500000
Schalke,Bundesliga,2022,87775000
Bochum,Bundesliga,2022,53700000
Bayern Munich,Bundesliga,2021,790325000
Borussia Dortmund,Bundesliga,2021,558975000
RB Leipzig,Bundesliga,2021,498950000
Bayer Leverkusen,Bundesliga,2021,455050000
Wolfsburg,Bundesliga,2021,269300000
Borussia Mönchengladbach,Bundesliga,2021,236800000
Frankfurt,Bundesliga,2021,228750000
Hoffenheim,Bundesliga,2021,211425000
Freiburg,Bundesliga,2021,176350000
